node;betweenness_scc_non_normalized;betweenness_scc_normalized
1;0;0.0
10;21540;0.01838188232523131
100;1083;0.0009242144177449168
1002;4244;0.003621759915890514
1003;49236;0.042017193972381094
1004;0;0.0
1005;49236;0.042017193972381094
1006;3977;0.0033939064998813797
1008;19014;0.016226235400740394
1009;11887;0.010144170622099562
1010;3977;0.0033939064998813797
1011;1454;0.0012408197261321414
1012;22881;0.019526269706760333
1013;46840;0.03997248691336279
1018;0;0.0
1019;46840;0.03997248691336279
1020;22881;0.019526269706760333
1021;46840;0.03997248691336279
1022;15152;0.01293046801262325
1025;12901;0.011009501572785938
1026;1936;0.0016521506119613655
1027;0;0.0
1028;9665;0.00824795230609845
1031;0;0.0
1033;0;0.0
1034;0;0.0
1035;0;0.0
1036;0;0.0
105;25792;0.02201046930976629
108;1457;0.001243379876873817
109;17842;0.015226069844325767
11;17779;0.015172306678750578
1101;14232;0.012145355118509378
1102;14314;0.012215332572115179
1103;7212;0.006154602382988311
1104;3839;0.0032761395657642987
1105;7212;0.006154602382988311
1106;8694;0.007419316849376091
1109;2163;0.001845868684748158
111;26351;0.022487510731298524
1110;8694;0.007419316849376091
1111;2163;0.001845868684748158
1112;8542;0.00728960254513119
1114;8542;0.00728960254513119
1117;2163;0.001845868684748158
1118;36177;0.030872857793866903
1119;42990;0.03668696012821235
112;1083;0.0009242144177449168
1120;11767;0.010041764592432535
1121;12356;0.010544407521381525
1122;15692;0.01339129514612487
1124;11767;0.010041764592432535
1125;12356;0.010544407521381525
1128;9392;0.008014978588605963
1129;1973;0.0016837258044420321
113;10678;0.009112429873204268
1131;9392;0.008014978588605963
1132;1658;0.001414909976566087
1133;9392;0.008014978588605963
1134;9392;0.008014978588605963
1135;9392;0.008014978588605963
1136;9392;0.008014978588605963
114;1457;0.001243379876873817
1141;2372;0.0020242258530848963
1142;3772;0.0032189628658668757
1143;2372;0.0020242258530848963
1144;3772;0.0032189628658668757
1151;23441;0.020004164511873125
1152;1347;0.0011495076830123757
1153;12693;0.010831997788029759
1154;28208;0.024072244040395766
1156;28208;0.024072244040395766
117;30073;0.025663804418137474
12;14991;0.012793073256153323
1200;9350;0.007979136478222505
1201;31562;0.026934492569589165
1202;17510;0.014942746495580327
1203;23037;0.01965939754532747
1204;17510;0.014942746495580327
1205;23037;0.01965939754532747
1206;25355;0.0216375406850622
1209;27545;0.023506450726485443
1210;11019;0.009403433674174736
1211;6526;0.005569181246725141
1212;11019;0.009403433674174736
1213;6526;0.005569181246725141
1214;11622;0.009918023973251545
1217;23117;0.019727668231772154
1218;5068;0.004324947986270765
1219;16563;0.014134592244791373
1251;8667;0.00739627549270101
1252;9527;0.00813018537198137
1253;8667;0.00739627549270101
1254;9527;0.00813018537198137
1261;24393;0.02081658568056487
1262;3588;0.003061940287044101
1263;5471;0.004668861569235863
1264;5471;0.004668861569235863
1266;5471;0.004668861569235863
13;14486;0.01236211454797125
1301;4599;0.003924711086988802
1302;5803;0.004952184917981304
1303;4599;0.003924711086988802
1304;5803;0.004952184917981304
1305;4599;0.003924711086988802
1306;5803;0.004952184917981304
1309;22181;0.018928901200369344
1310;19318;0.016485664009230197
1311;31931;0.02724939111081527
1312;29928;0.025540063798956483
1313;31931;0.02724939111081527
1314;34928;0.029806981701749266
1351;17871;0.015250817968161965
1352;13804;0.011780106946030315
1353;8667;0.00739627549270101
1354;9527;0.00813018537198137
14;839;0.000715988824088629
1400;7253;0.006189591109791211
1401;30339;0.02589080445056605
1402;20375;0.01738769045388059
1403;30339;0.02589080445056605
1404;20375;0.01738769045388059
1405;26251;0.02240217237324267
1406;16287;0.013899058376557211
1407;26251;0.02240217237324267
1408;15081;0.012869877778403592
1412;6353;0.00542154588728851
15;145007;0.12374659286605462
16;20016;0.01708132574846007
1609;0;0.0
1610;0;0.0
1611;0;0.0
1612;0;0.0
1619;0;0.0
1620;0;0.0
1622;0;0.0
17;10620;0.009062933625531872
18;99112;0.08458055343631966
19;37652;0.032131598575190774
2;0;0.0
20;108113;0.09226185904492723
2000;47982;0.04094705096236066
2001;25481;0.02174506701621258
2002;105048;0.08964623837051526
