Node;Degree;C_i;R_i
1;2;0.0;0.0
10;10;0.022222;0.2
100;2;0.0;0.0
1002;4;0.0;0.0
1003;3;0.0;0.0
1004;2;0.0;0.0
1005;3;0.0;0.0
1006;3;0.0;0.0
1008;4;0.0;0.0
1009;4;0.166667;0.5
1010;3;0.0;0.0
1011;2;0.0;0.0
1012;6;0.133333;0.666667
1013;6;0.133333;0.666667
1018;2;1.0;1.0
1019;2;1.0;1.0
1020;4;0.333333;1.0
1021;6;0.133333;0.666667
1022;3;0.0;0.0
1025;4;0.0;0.0
1026;3;0.0;0.0
1027;5;0.1;0.4
1028;5;0.1;0.4
1031;2;0.0;0.0
1033;2;0.0;0.0
1034;2;0.0;0.0
1035;1;0.0;0.0
1036;1;0.0;0.0
105;3;0.0;0.0
108;2;0.0;0.0
109;5;0.0;0.0
11;9;0.027778;0.222222
1101;3;0.0;0.0
1102;3;0.0;0.0
1103;3;0.0;0.0
1104;2;0.0;0.0
1105;3;0.0;0.0
1106;3;0.0;0.0
1109;2;0.0;0.0
111;3;0.0;0.0
1110;3;0.0;0.0
1111;2;0.0;0.0
1112;2;0.0;0.0
1114;2;0.0;0.0
1117;2;0.0;0.0
1118;6;0.0;0.0
1119;7;0.0;0.0
112;2;0.0;0.0
1120;2;0.0;0.0
1121;2;0.0;0.0
1122;4;0.0;0.0
1124;3;0.0;0.0
1125;3;0.0;0.0
1128;2;0.0;0.0
1129;2;0.0;0.0
113;3;0.0;0.0
1131;3;0.0;0.0
1132;2;0.0;0.0
1133;2;0.0;0.0
1134;2;0.0;0.0
1135;2;0.0;0.0
1136;2;0.0;0.0
114;2;0.0;0.0
1141;2;0.0;0.0
1142;2;0.0;0.0
1143;2;0.0;0.0
1144;2;0.0;0.0
1151;3;0.0;0.0
1152;2;0.0;0.0
1153;2;0.0;0.0
1154;2;0.0;0.0
1156;3;0.0;0.0
117;4;0.0;0.0
12;3;0.0;0.0
1200;2;1.0;1.0
1201;6;0.066667;0.333333
1202;3;0.0;0.0
1203;3;0.0;0.0
1204;2;0.0;0.0
1205;2;0.0;0.0
1206;5;0.0;0.0
1209;4;0.0;0.0
1210;2;0.0;0.0
1211;2;0.0;0.0
1212;2;0.0;0.0
1213;2;0.0;0.0
1214;4;0.0;0.0
1217;5;0.0;0.0
1218;2;0.0;0.0
1219;2;0.0;0.0
1251;2;0.0;0.0
1252;2;0.0;0.0
1253;2;0.0;0.0
1254;2;0.0;0.0
1261;4;0.0;0.0
1262;2;0.0;0.0
1263;2;0.0;0.0
1264;2;0.0;0.0
1266;2;0.0;0.0
13;3;0.0;0.0
1301;2;0.0;0.0
1302;3;0.0;0.0
1303;2;0.0;0.0
1304;2;0.0;0.0
1305;2;0.0;0.0
1306;2;0.0;0.0
1309;3;0.0;0.0
1310;3;0.0;0.0
1311;3;0.0;0.0
1312;3;0.0;0.0
1313;3;0.0;0.0
1314;4;0.166667;0.5
1351;3;0.0;0.0
1352;3;0.0;0.0
1353;2;0.0;0.0
1354;2;0.0;0.0
14;2;0.0;0.0
1400;3;0.333333;0.666667
1401;3;0.0;0.0
1402;3;0.0;0.0
1403;3;0.0;0.0
1404;3;0.333333;0.666667
1405;3;0.333333;0.666667
1406;5;0.2;0.8
1407;3;0.333333;0.666667
1408;2;0.0;0.0
1412;5;0.1;0.4
15;8;0.0;0.0
16;6;0.0;0.0
1609;1;0.0;0.0
1610;1;0.0;0.0
1611;2;0.0;0.0
1612;2;0.0;0.0
1619;2;0.0;0.0
1620;2;0.0;0.0
1622;2;0.0;0.0
17;2;0.0;0.0
18;5;0.0;0.0
19;5;0.1;0.4
2;3;0.0;0.0
20;4;0.0;0.0
2000;3;0.0;0.0
2001;2;0.0;0.0
2002;3;0.333333;0.666667
2003;3;0.333333;0.666667
2004;7;0.095238;0.571429
2005;6;0.266667;1.333.333
2006;3;0.0;0.0
2008;6;0.133333;0.666667
2009;3;0.333333;0.666667
201;4;0.0;0.0
2010;2;0.0;0.0
2011;6;0.2;1.0
2013;2;0.0;0.0
2014;2;0.0;0.0
2017;2;0.0;0.0
2018;2;0.0;0.0
2019;3;0.333333;0.666667
2020;2;0.0;0.0
2021;7;0.095238;0.571429
2022;3;0.333333;0.666667
2025;5;0.2;0.8
2026;8;0.107143;0.75
2028;3;0.333333;0.666667
2029;2;1.0;1.0
2030;5;0.3;1.2
2033;4;0.333333;1.0
2034;2;1.0;1.0
2035;1;0.0;0.0
2036;4;0.333333;1.0
2038;1;0.0;0.0
206;2;0.0;0.0
21;5;0.1;0.4
2101;4;0.166667;0.5
2102;2;0.0;0.0
2103;4;0.166667;0.5
2105;5;0.3;1.2
2106;7;0.142857;0.857143
2111;2;0.0;0.0
2112;2;0.0;0.0
2113;2;0.0;0.0
2114;4;0.0;0.0
2117;4;0.0;0.0
2118;2;0.0;0.0
2119;2;0.0;0.0
2120;2;0.0;0.0
2121;2;0.0;0.0
2122;2;0.0;0.0
2125;2;0.0;0.0
2126;3;0.0;0.0
2127;2;0.0;0.0
2128;3;0.0;0.0
2129;3;0.0;0.0
2130;2;0.0;0.0
2133;3;0.0;0.0
22;5;0.0;0.0
2201;2;0.0;0.0
2202;2;0.0;0.0
2203;2;0.0;0.0
2204;2;0.0;0.0
2205;2;0.0;0.0
22310;1;0.0;0.0
22311;1;0.0;0.0
2301;2;0.0;0.0
2302;2;0.0;0.0
2303;2;0.0;0.0
2304;3;0.0;0.0
2450;4;0.0;0.0
2451;4;0.0;0.0
2452;3;0.0;0.0
2453;3;0.0;0.0
2454;2;0.0;0.0
2455;3;0.0;0.0
2456;3;0.0;0.0
2457;4;0.0;0.0
2459;2;0.0;0.0
2460;2;0.0;0.0
2461;2;0.0;0.0
2462;2;0.0;0.0
2463;2;0.0;0.0
2464;2;0.0;0.0
2467;2;0.0;0.0
2468;3;0.0;0.0
2469;2;0.0;0.0
2470;3;0.0;0.0
2472;2;0.0;0.0
2476;2;0.0;0.0
2477;2;0.0;0.0
2479;2;0.0;0.0
2482;3;0.0;0.0
2485;2;0.0;0.0
2486;2;0.0;0.0
2487;2;0.0;0.0
2488;2;0.0;0.0
2491;2;0.0;0.0
2492;2;0.0;0.0
2493;5;0.0;0.0
2494;4;0.0;0.0
2495;3;0.0;0.0
2496;2;0.0;0.0
2497;3;0.0;0.0
2498;3;0.0;0.0
25;3;0.333333;0.666667
26;2;0.0;0.0
27;7;0.047619;0.285714
28;3;0.0;0.0
29;3;0.0;0.0
3;8;0.0;0.0
30;2;0.0;0.0
3003;4;0.0;0.0
3004;5;0.0;0.0
3006;2;0.0;0.0
3007;6;0.0;0.0
301;8;0.071429;0.5
3010;3;0.0;0.0
3012;5;0.1;0.4
3014;4;0.166667;0.5
3015;6;0.066667;0.333333
3017;3;0.0;0.0
3018;4;0.166667;0.5
3019;2;0.0;0.0
302;6;0.333333;1.666.667
3020;5;0.0;0.0
3022;3;0.0;0.0
3025;3;0.0;0.0
3026;4;0.0;0.0
3027;4;0.0;0.0
303;3;0.333333;0.666667
304;2;1.0;1.0
305;8;0.071429;0.5
3051;3;0.0;0.0
3052;2;0.0;0.0
3053;2;0.0;0.0
3054;2;0.0;0.0
3055;2;0.0;0.0
3056;4;0.0;0.0
3059;4;0.0;0.0
306;6;0.133333;0.666667
3074;4;0.0;0.0
3075;5;0.1;0.4
3076;4;0.333333;1.0
3101;3;0.0;0.0
3102;3;0.0;0.0
3103;2;0.0;0.0
3104;2;0.0;0.0
3105;4;0.0;0.0
3106;2;0.0;0.0
3107;3;0.0;0.0
3108;2;0.0;0.0
3109;3;0.0;0.0
3110;3;0.0;0.0
3111;3;0.0;0.0
3112;3;0.0;0.0
3113;3;0.0;0.0
3114;2;0.0;0.0
3115;4;0.166667;0.5
3116;2;0.0;0.0
3118;2;0.0;0.0
3120;2;0.0;0.0
3122;2;0.0;0.0
3131;2;0.0;0.0
3132;2;0.0;0.0
3133;3;0.0;0.0
3134;2;0.0;0.0
3151;2;0.0;0.0
3152;2;0.0;0.0
3153;2;0.0;0.0
3154;2;0.0;0.0
3161;4;0.0;0.0
3162;2;0.0;0.0
3163;2;0.0;0.0
3164;3;0.0;0.0
3165;5;0.0;0.0
3201;3;0.0;0.0
3202;5;0.0;0.0
3203;2;0.0;0.0
3204;4;0.0;0.0
3205;5;0.0;0.0
3206;3;0.0;0.0
3208;2;0.0;0.0
3210;2;0.0;0.0
3212;2;0.0;0.0
3214;2;0.0;0.0
3216;2;0.0;0.0
33;2;0.0;0.0
3301;2;0.0;0.0
3302;2;0.0;0.0
3303;2;0.0;0.0
3304;4;0.0;0.0
3305;4;0.0;0.0
3307;2;0.0;0.0
3308;5;0.0;0.0
3309;3;0.0;0.0
3310;4;0.0;0.0
3311;3;0.0;0.0
3312;2;0.0;0.0
