service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1727_1000000022780","1","1","1","1","1","0","0","20250915","20250930"
"1727_1000000022781","0","0","0","0","0","0","1","20250921","20251026"
"1727_1000000022782","0","0","0","0","0","1","0","20250920","20250927"
"1727_1000000024188","1","1","1","1","1","0","0","20250911","20250912"
"1727_1000000024227","0","0","0","0","0","1","0","20250911","20250913"
"1727_1000000024505","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024506","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024507","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024508","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024509","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024510","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024511","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024512","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024513","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024514","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024515","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024517","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024525","1","1","1","1","1","0","0","20250911","20260606"
"1727_1000000024528","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024537","0","0","0","0","0","0","0","20251231","20260606"
"1727_1000000024538","0","0","0","0","0","0","0","20251101","20260606"
"1727_1000000024539","0","0","0","0","0","1","0","20251004","20251004"
"1727_1000000024540","0","0","0","0","0","1","0","20251004","20251004"
"1727_1000000024541","0","0","0","0","0","1","0","20251004","20251004"
"1727_1000000024544","0","0","0","0","0","1","0","20251004","20251004"
"1727_1000000024545","0","0","0","0","0","1","0","20251004","20251004"
"1727_1000000024546","0","0","0","0","0","0","0","20251025","20260606"
"1727_1000000024547","0","0","0","0","0","0","0","20251101","20260606"
"1727_1000000024548","0","0","0","0","0","0","0","20251101","20260606"
"1727_1000000024556","0","0","0","0","0","0","0","20260102","20260606"
"1727_1000000024568","1","1","1","1","1","1","0","20250911","20260606"
"1727_1000000024571","1","1","1","1","1","1","0","20250911","20260606"
"1727_1000000024572","1","1","1","1","1","1","0","20250911","20260606"
"1727_1000000024577","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024579","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024580","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024581","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024582","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024583","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024584","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024585","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024586","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024587","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024588","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024590","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024591","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024592","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024593","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024594","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024595","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024597","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024598","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024599","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024600","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024601","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024602","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024604","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024605","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024606","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024607","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024608","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024609","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024610","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024611","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024612","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024613","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024614","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024617","0","0","0","0","0","0","0","20250911","20260606"
"1727_1000000024618","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024619","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024621","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024622","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024624","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024625","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024626","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024628","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024635","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024636","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024637","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024639","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024640","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024642","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024643","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024644","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024645","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024646","1","1","1","1","1","0","0","20251103","20260606"
"1727_1000000024648","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024649","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024651","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024652","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024653","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024656","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024657","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024658","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024659","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024660","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024661","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024662","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024664","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024665","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024667","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024668","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024670","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024671","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024672","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024674","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024676","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024677","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024678","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024679","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024680","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024682","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024684","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024686","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024688","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024690","1","1","1","1","1","0","0","20250915","20260606"
"1727_1000000024694","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024695","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024697","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024698","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024699","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024700","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024701","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024702","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024703","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024704","0","0","0","0","0","0","0","20251224","20260606"
"1727_1000000024705","0","0","0","0","0","0","0","20251224","20260606"
