service_id,date,exception_type
"1727_1000000024505","20251224","1"
"1727_1000000024505","20251227","1"
"1727_1000000024505","20251229","1"
"1727_1000000024505","20251230","1"
"1727_1000000024505","20251231","1"
"1727_1000000024505","20260102","1"
"1727_1000000024505","20260103","1"
"1727_1000000024505","20260105","1"
"1727_1000000024505","20260402","1"
"1727_1000000024505","20260403","1"
"1727_1000000024505","20260404","1"
"1727_1000000024505","20260407","1"
"1727_1000000024506","20251224","1"
"1727_1000000024506","20251227","1"
"1727_1000000024506","20251229","1"
"1727_1000000024506","20251230","1"
"1727_1000000024506","20251231","1"
"1727_1000000024506","20260102","1"
"1727_1000000024506","20260103","1"
"1727_1000000024506","20260105","1"
"1727_1000000024506","20260402","1"
"1727_1000000024506","20260403","1"
"1727_1000000024506","20260404","1"
"1727_1000000024506","20260407","1"
"1727_1000000024507","20251224","1"
"1727_1000000024507","20251227","1"
"1727_1000000024507","20251229","1"
"1727_1000000024507","20251230","1"
"1727_1000000024507","20251231","1"
"1727_1000000024507","20260102","1"
"1727_1000000024507","20260103","1"
"1727_1000000024507","20260105","1"
"1727_1000000024507","20260402","1"
"1727_1000000024507","20260403","1"
"1727_1000000024507","20260404","1"
"1727_1000000024507","20260407","1"
"1727_1000000024508","20251224","1"
"1727_1000000024508","20251227","1"
"1727_1000000024508","20251229","1"
"1727_1000000024508","20251230","1"
"1727_1000000024508","20251231","1"
"1727_1000000024508","20260102","1"
"1727_1000000024508","20260103","1"
"1727_1000000024508","20260105","1"
"1727_1000000024508","20260402","1"
"1727_1000000024508","20260403","1"
"1727_1000000024508","20260404","1"
"1727_1000000024508","20260407","1"
"1727_1000000024509","20251224","1"
"1727_1000000024509","20251227","1"
"1727_1000000024509","20251229","1"
"1727_1000000024509","20251230","1"
"1727_1000000024509","20251231","1"
"1727_1000000024509","20260102","1"
"1727_1000000024509","20260103","1"
"1727_1000000024509","20260105","1"
"1727_1000000024509","20260402","1"
"1727_1000000024509","20260403","1"
"1727_1000000024509","20260404","1"
"1727_1000000024509","20260407","1"
"1727_1000000024510","20251224","1"
"1727_1000000024510","20251227","1"
"1727_1000000024510","20251229","1"
"1727_1000000024510","20251230","1"
"1727_1000000024510","20251231","1"
"1727_1000000024510","20260102","1"
"1727_1000000024510","20260103","1"
"1727_1000000024510","20260105","1"
"1727_1000000024510","20260402","1"
"1727_1000000024510","20260403","1"
"1727_1000000024510","20260404","1"
"1727_1000000024510","20260407","1"
"1727_1000000024511","20251224","1"
"1727_1000000024511","20251227","1"
"1727_1000000024511","20251229","1"
"1727_1000000024511","20251230","1"
"1727_1000000024511","20251231","1"
"1727_1000000024511","20260102","1"
"1727_1000000024511","20260103","1"
"1727_1000000024511","20260105","1"
"1727_1000000024511","20260402","1"
"1727_1000000024511","20260403","1"
"1727_1000000024511","20260404","1"
"1727_1000000024511","20260407","1"
"1727_1000000024512","20251224","1"
"1727_1000000024512","20251227","1"
"1727_1000000024512","20251229","1"
"1727_1000000024512","20251230","1"
"1727_1000000024512","20251231","1"
"1727_1000000024512","20260102","1"
"1727_1000000024512","20260103","1"
"1727_1000000024512","20260105","1"
"1727_1000000024512","20260402","1"
"1727_1000000024512","20260403","1"
"1727_1000000024512","20260404","1"
"1727_1000000024512","20260407","1"
"1727_1000000024513","20251224","1"
"1727_1000000024513","20251227","1"
"1727_1000000024513","20251229","1"
"1727_1000000024513","20251230","1"
"1727_1000000024513","20251231","1"
"1727_1000000024513","20260102","1"
"1727_1000000024513","20260103","1"
"1727_1000000024513","20260105","1"
"1727_1000000024513","20260402","1"
"1727_1000000024513","20260403","1"
"1727_1000000024513","20260404","1"
"1727_1000000024513","20260407","1"
"1727_1000000024514","20251224","1"
"1727_1000000024514","20251227","1"
"1727_1000000024514","20251229","1"
"1727_1000000024514","20251230","1"
"1727_1000000024514","20251231","1"
"1727_1000000024514","20260102","1"
"1727_1000000024514","20260103","1"
"1727_1000000024514","20260105","1"
"1727_1000000024514","20260402","1"
"1727_1000000024514","20260403","1"
