route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1","TPERBO","1","Zolino - Ospedale Nuovo - Pedagna - Stazione - Saffi - Guicciardini - Rivazza","3","FFFFFF","000000"
"101","TPERBO","101","Bologna - Castel San Pietro Terme - Imola","3","FFFFFF","000000"
"102","TPERBO","102","Imola Autostazione / Piratello Cimitero","3","FFFFFF","000000"
"103","TPERBO","103","Piancaldoli - Castel San Pietro Terme","3","FFFFFF","000000"
"104","TPERBO","104","Castel del Rio - Osp. Nuovo - Stazione F.S. - V. Di Vittorio","3","FFFFFF","000000"
"106","TPERBO","106","Bologna - Z.I. Ponte Rizzoli","3","FFFFFF","000000"
"11","TPERBO","11","Istituto R. Luxemburg / Bertalia / Arcoveggio - rot. Corelli / Ponticella","3","FFFFFF","000000"
"110","TPERBO","110","Castel San Pietro Terme Stazione - Montecalderaro","3","FFFFFF","000000"
"111","TPERBO","111","Varignana - Osteria Grande","3","FFFFFF","000000"
"112","TPERBO","112","Castel San Pietro Terme Stazione - Castel San Pietro Terme","3","FFFFFF","000000"
"113","TPERBO","113","Castel San Pietro Terme Stazione - Scania - Castel San Pietro Terme","3","FFFFFF","000000"
"114","TPERBO","114","Ponte Quaderna - Castel San Pietro Terme Scuole","3","FFFFFF","000000"
"116","TPERBO","116","Medicina Castelguelfo - Castel San Pietro Terme","3","FFFFFF","000000"
"117","TPERBO","116","Linea 116 AGI: Medicina - Castel San Pietro Terme","3","FFFFFF","000000"
"121","TPERBO","121","San Lazzaro di Savena - Mirandola","3","FFFFFF","000000"
"122","TPERBO","122","San Lazzaro di Savena - Villanova - Castenaso","3","FFFFFF","000000"
"123","TPERBO","123","Mazzini - Ponticella","3","FFFFFF","000000"
"124","TPERBO","124","Ponticella - Ospedale Bellaria - San Lazzaro di Savena","3","FFFFFF","000000"
"125","TPERBO","125","Villaggio Martino - Ospedale Bellaria - San Lazzaro di Savena","3","FFFFFF","000000"
"126","TPERBO","126","San Lazzaro di Savena - Lago dei Castori - Pianoro","3","FFFFFF","000000"
"13","TPERBO","13","P.zza Malpighi /P.zza Cavour - Pavese - Rastignano","3","FFFFFF","000000"
"131","TPERBO","131","Ozzano Emilia - Facoltà Veterinaria","3","FFFFFF","000000"
"132","TPERBO","132","Ponte Rizzoli - Ozzano Stazione - Zona Industriali - Ozzano Galvani","3","FFFFFF","000000"
"14","TPERBO","14","Barca - Ospedale S. Orsola - Due Madonne / Pilastro","3","FFFFFF","000000"
"140","TPERBO","140","Imola Autostazione - Montecatone - Montebello","3","FFFFFF","000000"
"141","TPERBO","141","Imola Autostazione - Castel del Rio","3","FFFFFF","000000"
"142","TPERBO","142","Imola Autostazione - Piancaldoli","3","FFFFFF","000000"
"143","TPERBO","143","Piancaldoli - Castel del Rio","3","FFFFFF","000000"
"144","TPERBO","144","Imola Autostazione - Casalfiumanese","3","FFFFFF","000000"
"145","TPERBO","145","Castel del Rio - Firenzuola","3","FFFFFF","000000"
"147","TPERBO","147","Dozza Imolese - Toscanella di Dozza Imolese","3","FFFFFF","000000"
"15","TPERBO","15","P.zza XX Settembre - S.Lazzaro Pertini","3","FFFFFF","000000"
"150","TPERBO","150","Imola Autostazione - San Prospero","3","FFFFFF","000000"
